통화코드,적용시작일,매매기준율
CNY,2016-01-04,181.1
USD,2016-01-04,1184
JPY,2016-01-04,992.62
KRW,2016-01-04,1
USD,2016-01-05,1185
CNY,2016-01-05,181.94
JPY,2016-01-05,993
KRW,2016-01-05,1
JPY,2016-01-06,1005.06
USD,2016-01-06,1191
CNY,2016-01-06,182.61
KRW,2016-01-06,1
CNY,2016-01-07,183.03
JPY,2016-01-07,1016.95
KRW,2016-01-07,1
USD,2016-01-07,1200
CNY,2016-01-08,181.56
JPY,2016-01-08,1013.12
KRW,2016-01-08,1
USD,2016-01-08,1197
KRW,2016-01-11,1
USD,2016-01-11,1207
CNY,2016-01-11,182.98
JPY,2016-01-11,1028.55
JPY,2016-01-12,1027.32
KRW,2016-01-12,1
USD,2016-01-12,1209
CNY,2016-01-12,183.43
CNY,2016-01-13,184.11
JPY,2016-01-13,1020.3
KRW,2016-01-13,1
USD,2016-01-13,1206
CNY,2016-01-14,183.87
JPY,2016-01-14,1031.29
KRW,2016-01-14,1
USD,2016-01-14,1213
USD,2016-01-15,1212
JPY,2016-01-15,1030.52
CNY,2016-01-15,183.31
KRW,2016-01-15,1
CNY,2016-01-18,184.37
JPY,2016-01-18,1034.85
KRW,2016-01-18,1
USD,2016-01-18,1210
CNY,2016-01-19,183.93
JPY,2016-01-19,1022.9
KRW,2016-01-19,1
USD,2016-01-19,1206
CNY,2016-01-20,183.48
JPY,2016-01-20,1038.33
KRW,2016-01-20,1
USD,2016-01-20,1211
USD,2016-01-21,1213
CNY,2016-01-21,183.79
JPY,2016-01-21,1037.28
KRW,2016-01-21,1
CNY,2016-01-22,182.98
JPY,2016-01-22,1018.59
KRW,2016-01-22,1
USD,2016-01-22,1200
CNY,2016-01-25,182.1
JPY,2016-01-25,1005.69
KRW,2016-01-25,1
USD,2016-01-25,1194
USD,2016-01-26,1203
JPY,2016-01-26,1020.62
CNY,2016-01-26,182.24
KRW,2016-01-26,1
CNY,2016-01-27,182
JPY,2016-01-27,1015.42
KRW,2016-01-27,1
USD,2016-01-27,1202
CNY,2016-01-28,183.65
JPY,2016-01-28,1018.51
KRW,2016-01-28,1
USD,2016-01-28,1208
CNY,2016-01-29,183.57
JPY,2016-01-29,992.14
KRW,2016-01-29,1
USD,2016-01-29,1199
USD,2016-02-01,1202
CNY,2016-02-01,183.4
JPY,2016-02-01,989.91
KRW,2016-02-01,1
CNY,2016-02-02,182.88
JPY,2016-02-02,1002.49
KRW,2016-02-02,1
USD,2016-02-02,1207
CNY,2016-02-03,184.21
JPY,2016-02-03,1018.49
KRW,2016-02-03,1
USD,2016-02-03,1220
KRW,2016-02-04,1
USD,2016-02-04,1201
CNY,2016-02-04,182.61
JPY,2016-02-04,1018.27
CNY,2016-02-05,181.73
JPY,2016-02-05,1024.52
KRW,2016-02-05,1
USD,2016-02-05,1197
CNY,2016-02-11,181.02
JPY,2016-02-11,1069.59
KRW,2016-02-11,1
USD,2016-02-11,1202
CNY,2016-02-12,182.55
JPY,2016-02-12,1078.09
KRW,2016-02-12,1
USD,2016-02-12,1208
USD,2016-02-15,1211
JPY,2016-02-15,1066.16
CNY,2016-02-15,183.61
KRW,2016-02-15,1
CNY,2016-02-16,186.42
JPY,2016-02-16,1065.33
KRW,2016-02-16,1
USD,2016-02-16,1219
CNY,2016-02-17,187.06
JPY,2016-02-17,1079.16
KRW,2016-02-17,1
USD,2016-02-17,1227
CNY,2016-02-18,187.5
JPY,2016-02-18,1076.01
KRW,2016-02-18,1
USD,2016-02-18,1228
USD,2016-02-19,1234
KRW,2016-02-19,1
JPY,2016-02-19,1093.78
CNY,2016-02-19,188.69
CNY,2016-02-22,189.05
JPY,2016-02-22,1091.63
KRW,2016-02-22,1
USD,2016-02-22,1233
CNY,2016-02-23,187.68
JPY,2016-02-23,1095.6
KRW,2016-02-23,1
USD,2016-02-23,1232
CNY,2016-02-24,188.76
JPY,2016-02-24,1103.52
KRW,2016-02-24,1
USD,2016-02-24,1236
USD,2016-02-25,1237
KRW,2016-02-25,1
CNY,2016-02-25,188.78
JPY,2016-02-25,1100.04
CNY,2016-02-26,189.18
JPY,2016-02-26,1094.73
KRW,2016-02-26,1
USD,2016-02-26,1236
CNY,2016-02-29,190.05
JPY,2016-02-29,1097.92
KRW,2016-02-29,1
USD,2016-02-29,1239
CNY,2016-03-02,187.73
JPY,2016-03-02,1078.81
KRW,2016-03-02,1
USD,2016-03-02,1230
USD,2016-03-03,1218
JPY,2016-03-03,1067.48
CNY,2016-03-03,187.15
KRW,2016-03-03,1
CNY,2016-03-04,185.57
JPY,2016-03-04,1060.5
KRW,2016-03-04,1
USD,2016-03-04,1206
CNY,2016-03-07,184.08
JPY,2016-03-07,1055.82
KRW,2016-03-07,1
USD,2016-03-07,1202
CNY,2016-03-08,184.3
JPY,2016-03-08,1067.69
KRW,2016-03-08,1
USD,2016-03-08,1205
USD,2016-03-09,1214
KRW,2016-03-09,1
CNY,2016-03-09,186.02
JPY,2016-03-09,1077.63
CNY,2016-03-10,185.79
JPY,2016-03-10,1059.94
KRW,2016-03-10,1
USD,2016-03-10,1206
CNY,2016-03-11,185.3
JPY,2016-03-11,1055.38
KRW,2016-03-11,1
USD,2016-03-11,1194
CNY,2016-03-14,182.91
JPY,2016-03-14,1041.02
KRW,2016-03-14,1
USD,2016-03-14,1184
USD,2016-03-15,1186
CNY,2016-03-15,183.08
JPY,2016-03-15,1046.41
KRW,2016-03-15,1
JPY,2016-03-16,1052.45
KRW,2016-03-16,1
USD,2016-03-16,1191
CNY,2016-03-16,183.44
CNY,2016-03-17,180.93
JPY,2016-03-17,1047.29
KRW,2016-03-17,1
USD,2016-03-17,1176
CNY,2016-03-18,178.54
JPY,2016-03-18,1041.76
KRW,2016-03-18,1
USD,2016-03-18,1160
USD,2016-03-21,1164
CNY,2016-03-21,179.87
JPY,2016-03-21,1043.53
KRW,2016-03-21,1
CNY,2016-03-22,179.04
JPY,2016-03-22,1032.21
KRW,2016-03-22,1
USD,2016-03-22,1157
CNY,2016-03-23,178.28
JPY,2016-03-23,1034.02
KRW,2016-03-23,1
USD,2016-03-23,1161
CNY,2016-03-24,179.68
JPY,2016-03-24,1036.25
KRW,2016-03-24,1
USD,2016-03-24,1165
USD,2016-03-25,1169
JPY,2016-03-25,1032.23
CNY,2016-03-25,179.45
KRW,2016-03-25,1
CNY,2016-03-28,179.41
JPY,2016-03-28,1031.46
KRW,2016-03-28,1
USD,2016-03-28,1169
CNY,2016-03-29,179.18
JPY,2016-03-29,1024.65
KRW,2016-03-29,1
USD,2016-03-29,1162
CNY,2016-03-30,177.83
JPY,2016-03-30,1026.9
KRW,2016-03-30,1
USD,2016-03-30,1153
USD,2016-03-31,1144
JPY,2016-03-31,1017.57
CNY,2016-03-31,176.96
KRW,2016-03-31,1
CNY,2016-04-01,177.55
JPY,2016-04-01,1028.55
KRW,2016-04-01,1
USD,2016-04-01,1153
CNY,2016-04-04,177.2
JPY,2016-04-04,1027.71
KRW,2016-04-04,1
USD,2016-04-04,1148
JPY,2016-04-05,1043.42
KRW,2016-04-05,1
USD,2016-04-05,1156
CNY,2016-04-05,177.82
CNY,2016-04-06,179.09
JPY,2016-04-06,1048.15
KRW,2016-04-06,1
USD,2016-04-06,1156
CNY,2016-04-07,178.22
JPY,2016-04-07,1057.9
KRW,2016-04-07,1
USD,2016-04-07,1151
USD,2016-04-08,1155
CNY,2016-04-08,179.33
JPY,2016-04-08,1061.58
KRW,2016-04-08,1
KRW,2016-04-11,1
JPY,2016-04-11,1065.43
USD,2016-04-11,1148
CNY,2016-04-11,178.17
CNY,2016-04-12,176.95
JPY,2016-04-12,1055.11
KRW,2016-04-12,1
USD,2016-04-12,1143
USD,2016-04-14,1155
CNY,2016-04-14,177.05
JPY,2016-04-14,1055.71
KRW,2016-04-14,1
KRW,2016-04-15,1
JPY,2016-04-15,1047.68
USD,2016-04-15,1146
CNY,2016-04-15,178.02
USD,2016-04-18,1150
CNY,2016-04-18,176.98
JPY,2016-04-18,1065.41
KRW,2016-04-18,1
KRW,2016-04-19,1
JPY,2016-04-19,1046.35
USD,2016-04-19,1139
CNY,2016-04-19,176.68
CNY,2016-04-20,174.82
JPY,2016-04-20,1041.65
KRW,2016-04-20,1
USD,2016-04-20,1133
USD,2016-04-21,1133
CNY,2016-04-21,175.1
JPY,2016-04-21,1031.59
KRW,2016-04-21,1
USD,2016-04-22,1141
KRW,2016-04-22,1
JPY,2016-04-22,1032.11
CNY,2016-04-22,176.03
USD,2016-04-25,1150
CNY,2016-04-25,176.9
JPY,2016-04-25,1035.76
KRW,2016-04-25,1
KRW,2016-04-26,1
JPY,2016-04-26,1035.26
USD,2016-04-26,1151
CNY,2016-04-26,177.27
USD,2016-04-27,1148
KRW,2016-04-27,1
JPY,2016-04-27,1031.49
CNY,2016-04-27,176.8
CNY,2016-04-28,176.91
JPY,2016-04-28,1053.55
KRW,2016-04-28,1
USD,2016-04-28,1141
CNY,2016-04-29,175.73
JPY,2016-04-29,1065.2
KRW,2016-04-29,1
USD,2016-04-29,1142
USD,2016-05-02,1140
CNY,2016-05-02,176.71
JPY,2016-05-02,1069.87
KRW,2016-05-02,1
USD,2016-05-03,1138
KRW,2016-05-03,1
JPY,2016-05-03,1074.5
CNY,2016-05-03,175.78
CNY,2016-05-04,177.46
JPY,2016-05-04,1074.33
KRW,2016-05-04,1
USD,2016-05-04,1152
KRW,2016-05-09,1
JPY,2016-05-09,1085.89
USD,2016-05-09,1165
CNY,2016-05-09,179.85
CNY,2016-05-10,180.31
JPY,2016-05-10,1079.86
